iter	RMSE
399	2577635.337
400	2577269.501
401	2577158.268
402	2577040.255
403	2576591.647
404	2576303.627
405	2576027.934
406	2575856.43
407	2575480.134
408	2574919.796
409	2574625.427
410	2574275.185
411	2573932.727
412	2573505.828
413	2573137.938
414	2572841.444
415	2572446.383
416	2572048.946
417	2571728.915
418	2571293.226
419	2571005.425
420	2570519.202
421	2570175.39
422	2569935.246
423	2569617.607
424	2569324.206
425	2569046.156
426	2568785.116
427	2568461.779
428	2568140.594
429	2567927.169
430	2567526.758
431	2567277.981
432	2566914.166
433	2566679.655
434	2566287.073
435	2565973.927
436	2565465.137
437	2565327.027
438	2565079.096
439	2564816.306
440	2564315.766
441	2564006.665
442	2563913.956
443	2563600.244
444	2563325.281
445	2563084.503
446	2562836.859
447	2562441.137
448	2562155.617
449	2561895.497
450	2561620.242
451	2561401.524
452	2561167.772
453	2560877.019
454	2560555.126
455	2560393.025
456	2560050.704
457	2559841.899
458	2559464.157
459	2559181.199
460	2558998.109
461	2558720.138
462	2558228.024
463	2557970.107
464	2557758.81
465	2557489.613
466	2557245.329
467	2556978.089
468	2556717.392
469	2556285.163
470	2556087.436
471	2555956.73
472	2555708.499
473	2555443.983
474	2555065.024
475	2554837.055
476	2554592.617
477	2554318.95
478	2553929.502
479	2553765.254
480	2553587.418
481	2553307.87
482	2552981.805
483	2552769.059
484	2552439.644
485	2552067.789
486	2551897.03
487	2551643.324
488	2551449.093
489	2551096.401
490	2550797.225
491	2550527.495
492	2550216.674
493	2549887.984
494	2549594.557
495	2549443.259
496	2549138.885
497	2548929.164
498	2548674.962
499	2548445.361
500	2548125.959
501	2547946.339
502	2547730.56
503	2547319.427
504	2547053.618
505	2546849.874
506	2546618.284
507	2546422.605
508	2546205.174
509	2546085.682
510	2545929.101
511	2545693.385
512	2545309.289
513	2545136.724
514	2544858.927
515	2544554.212
516	2544333.806
517	2544203.618
518	2544046.535
519	2543810.005
520	2543636.311
521	2543344.11
522	2543066.343
523	2542596.244
524	2542360.198
525	2541994.502
526	2541791.318
527	2541569.27
528	2541445.106
529	2541031.45
530	2540855.485
531	2540570.521
532	2540291.156
533	2540081.304
534	2539879.032
535	2539538.903
536	2539367.847
537	2539097.931
538	2538960.652
539	2538736.481
540	2538544.857
541	2538156.91
542	2537825.199
543	2537489.455
544	2537343.159
545	2537055.472
546	2536872.675
547	2536541.358
548	2536357.687
549	2536230.352
550	2536058.338
551	2535915.373
552	2535610.874
553	2535387.92
554	2535060.694
555	2534790.696
556	2534557.742
557	2534327.487
558	2534087.135
559	2533676.5
560	2533409.529
561	2533222.729
562	2532967.941
563	2532714.656
564	2532450.351
565	2532207.388
566	2532064.707
567	2531781.053
568	2531553.515
569	2531430.816
570	2531318.15
571	2531168.993
572	2530916.769
573	2530758.925
574	2530484.411
575	2530199.418
576	2529974.375
577	2529718.31
578	2529476.513
579	2529158.959
580	2528801.321
581	2528424.954
582	2527963.826
583	2527777.994
584	2527415.197
585	2526968.378
586	2526640.821
587	2526396.393
588	2526132.818
589	2525996.125
590	2525884.427
591	2525598.977
592	2525301.422
593	2525040.606
594	2524733.755
595	2524521.054
596	2524360.923
597	2524166.308
598	2523781.976
599	2523414.036
600	2523309.502
601	2523154.565
602	2522961.219
603	2522728.048
604	2522428.831
605	2522201.29
606	2521964.358
607	2521692.395
608	2521489.242
609	2521329.919
610	2520977.425
611	2520828.933
612	2520660.893
613	2520512.075
614	2520203.734
615	2520042.254
616	2519862.261
617	2519605.28
618	2519382.847
619	2519117.911
620	2518869.882
621	2518706.398
622	2518459.96
623	2518192.834
624	2517979.96
625	2517804.686
626	2517610.926
627	2517290.824
628	2517149.542
629	2516986.176
630	2516763.215
631	2516484.922
632	2516340.63
633	2516177.376
634	2516039.206
635	2515810.959
636	2515611.07
637	2515382.233
638	2515209.965
639	2514857.332
640	2514562.492
641	2514365.268
642	2514206.736
643	2513927.116
644	2513807.46
645	2513626.101
646	2513443.814
647	2513210.65
648	2512962.204
649	2512752.243
650	2512476.868
651	2512227.657
652	2512060.706
653	2511806.21
654	2511635.309
655	2511491.209
656	2511206.335
657	2511019.519
658	2510801.985
659	2510636.354
660	2510433.421
661	2510200.639
662	2509901.562
663	2509691.323
664	2509486.459
665	2509237.514
666	2509042.438
667	2508686.436
668	2508496.703
669	2508307.782
670	2508033.22
671	2507856.412
672	2507682.519
673	2507351.767
674	2507201.318
675	2506973.223
676	2506816.227
677	2506681.147
678	2506311.602
679	2506172.039
680	2506008.327
681	2505855.756
682	2505577.364
683	2505372.228
684	2505201.976
685	2504897.195
686	2504769.877
687	2504486.157
688	2504307.874
689	2504123.219
690	2503778.837
691	2503663.606
692	2503475.398
693	2503296.724
694	2503085.518
695	2502878.082
696	2502643.729
697	2502341.741
698	2502164.57
699	2501853.61
700	2501719.089
701	2501552.301
702	2501359.333
703	2501166.843
704	2500847.817
705	2500608.026
706	2500393.64
707	2500164.758
708	2500034.682
709	2499826.025
710	2499665.839
711	2499524.468
712	2499403.604
713	2499163.044
714	2498788.832
715	2498525.67
716	2498383.259
717	2498155.843
718	2497910.652
719	2497680.924
720	2497454.562
721	2497286.386
722	2497106.037
723	2496916.32
724	2496791.703
725	2496639.639
